tiempo_de_viaje,cantidad_estudiantes_en_fila,tiempo_de_llegada_entre_buses_Volador,tiempo_entre_llegada_y_partida_del_bus,tiempo_entre_llegadas_de_estudiante
780,17,420,120,9
900,18,480,60,25
720,14,2,60,24
720,5,180,120,27
900,4,240,60,15
960,24,120,120,10
1260,10,120,180,33
540,5,2940,120,22
300,69,180,240,4
360,81,1200,240,15
300,62,2,120,3
420,51,2,120,17
360,57,360,240,22
1020,57,2280,60,4
480,29,20,240,15
660,7,300,180,3
840,90,25,120,17
840,39,300,240,3
780,53,180,120,13
780,26,180,120,35
660,30,660,60,6
780,23,2340,60,29
540,73,240,600,59
1140,35,18,60,5
720,20,180,120,9
1140,14,240,120,13
960,30,10,120,60
1140,8,180,300,33
960,14,120,180,44